City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Thompson,CA,55.7435,-97.8558,55.56,58,75,6.91,broken clouds
80,Bandarbeyla,SO,9.4942,50.8122,89.73,60,10,15.52,clear sky
81,Cherskiy,RU,68.75,161.3,24.62,90,100,15.28,overcast clouds
82,Sitka,US,57.0531,-135.33,44.49,70,0,3.44,clear sky
83,Bareli,IN,28.35,79.4167,106.21,10,0,6.15,clear sky
84,Price,US,39.5994,-110.8107,52.86,24,0,3.44,clear sky
85,Upernavik,GL,72.7868,-56.1549,3.85,76,20,5.3,few clouds
86,Puerto Escondido,MX,15.85,-97.0667,79.99,64,37,4.83,scattered clouds
87,Sao Filipe,CV,14.8961,-24.4956,72.23,80,8,10.6,clear sky
88,Saint Anthony,US,45.0205,-93.218,62.82,47,40,27.63,scattered clouds
89,Srivardhan,IN,18.0333,73.0167,88.36,64,81,17.34,broken clouds
90,Fortuna,US,40.5982,-124.1573,48.65,93,100,0.0,overcast clouds
91,Chokurdakh,RU,70.6333,147.9167,13.69,94,14,4.14,few clouds
92,Nanortalik,GL,60.1432,-45.2371,37.17,81,100,5.48,overcast clouds
93,Kodiak,US,57.79,-152.4072,45.91,61,0,4.61,clear sky
94,Quatre Cocos,MU,-20.2078,57.7625,83.08,71,16,12.66,few clouds
95,Yurla,RU,59.3259,54.3223,59.65,36,48,12.8,scattered clouds
96,Lompoc,US,34.6391,-120.4579,51.69,76,0,30.0,clear sky
97,Cape Town,ZA,-33.9258,18.4232,62.11,80,0,5.75,clear sky
98,Riyadh,SA,24.6877,46.7219,84.34,12,4,8.61,clear sky
99,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.38,90,1,11.77,clear sky
100,Lavrentiya,RU,65.5833,-171.0,25.84,99,100,4.27,overcast clouds
101,Te Anau,NZ,-45.4167,167.7167,53.24,91,100,0.87,overcast clouds
102,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,40,0,12.66,clear sky
103,Norman Wells,CA,65.282,-126.8329,39.24,65,75,6.91,broken clouds
104,Cape Girardeau,US,37.3834,-89.7168,51.39,96,2,7.36,clear sky
105,Saint George,US,37.1041,-113.5841,75.79,9,0,20.71,clear sky
106,Broken Hill,AU,-31.95,141.4333,60.51,55,100,12.66,overcast clouds
107,La Maddalena,IT,41.2142,9.4083,66.36,78,13,13.6,few clouds
108,Umm Bab,QA,25.2142,50.8072,83.79,53,3,19.26,clear sky
109,Sena Madureira,BR,-9.0656,-68.6569,69.51,86,20,2.59,few clouds
110,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,62,0,11.18,clear sky
111,Kerrville,US,30.0474,-99.1403,77.54,89,100,11.5,overcast clouds
112,Yulara,AU,-25.2406,130.9889,69.64,17,21,12.66,few clouds
113,Isangel,VU,-19.55,169.2667,75.09,63,9,15.82,clear sky
114,Bowen,AU,-20.0167,148.2333,74.5,88,100,15.14,overcast clouds
115,Nicoya,CR,10.1483,-85.452,77.68,89,100,0.58,overcast clouds
116,Atuona,PF,-9.8,-139.0333,77.86,81,30,14.7,light rain
117,Goderich,CA,43.7501,-81.7165,42.91,65,7,6.91,clear sky
118,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.4,86,83,6.26,broken clouds
119,Ixtapa,MX,20.7,-105.2,74.23,88,0,0.0,clear sky
120,Macamic,CA,48.7502,-78.9996,34.3,58,3,5.59,light snow
121,Roma,US,43.2128,-75.4557,42.08,76,0,3.44,clear sky
122,Komsomolskiy,UZ,40.4272,71.7189,88.52,19,0,6.91,clear sky
123,Ca Mau,VN,9.1769,105.15,88.81,61,96,10.83,overcast clouds
124,Nurota,UZ,40.5614,65.6886,92.52,16,64,14.76,broken clouds
125,Acapulco,MX,16.8634,-99.8901,78.62,83,20,3.44,few clouds
126,Myre,NO,69.1036,15.9492,38.01,65,100,23.09,light rain
127,Petatlan,MX,17.5167,-101.2667,74.68,77,97,2.48,overcast clouds
128,Labuhan,ID,-6.8844,112.2051,86.61,69,100,5.93,overcast clouds
129,Luderitz,NA,-26.6481,15.1594,61.83,44,0,13.53,clear sky
130,Camacha,PT,33.0833,-16.3333,58.42,67,75,11.5,broken clouds
131,Kant,IN,27.8,79.8,107.2,9,0,8.39,clear sky
132,Araouane,ML,18.9048,-3.5265,86.22,8,0,20.4,clear sky
133,Muros,ES,42.7762,-9.0603,58.68,63,93,1.9,overcast clouds
134,Hastings,GB,50.8552,0.5729,56.39,70,16,15.52,few clouds
135,Vardo,NO,70.3705,31.1107,31.98,74,100,21.85,overcast clouds
136,Touros,BR,-5.1989,-35.4608,74.41,93,90,8.08,overcast clouds
137,Ribeira Grande,PT,38.5167,-28.7,55.8,82,20,6.91,few clouds
138,Erenhot,CN,43.6475,111.9767,64.9,17,0,0.29,clear sky
139,Taoudenni,ML,22.6783,-3.9836,85.84,8,60,18.05,broken clouds
140,Floro,NO,61.5996,5.0328,44.96,81,20,6.91,few clouds
141,Hobart,AU,-42.8794,147.3294,55.26,68,20,4.61,few clouds
142,Yellowknife,CA,62.456,-114.3525,32.52,93,100,21.85,overcast clouds
143,Cap Malheureux,MU,-19.9842,57.6142,83.46,65,19,8.01,few clouds
144,Alta Floresta,BR,-9.8756,-56.0861,68.68,98,39,2.84,scattered clouds
145,Kahului,US,20.8947,-156.47,75.85,73,20,10.0,few clouds
146,Sambava,MG,-14.2667,50.1667,82.36,68,71,7.36,light rain
147,Mahebourg,MU,-20.4081,57.7,83.25,74,40,9.22,scattered clouds
148,Saint-Philippe,RE,-21.3585,55.7679,80.19,81,51,12.19,light rain
149,Dano,BF,11.15,-3.0667,87.03,47,68,9.51,broken clouds
150,Srednekolymsk,RU,67.45,153.6833,30.97,83,100,4.38,overcast clouds
151,Merauke,ID,-8.4667,140.3333,82.83,84,100,12.24,light rain
152,Torbay,CA,47.6666,-52.7314,33.28,89,0,9.22,clear sky
153,Ust-Ishim,RU,57.6935,71.1665,58.95,50,93,8.75,overcast clouds
