City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Petropavlovsk-Kamchatskiy,RU,54.19,clear sky,53.0452,158.6483,
111,Kerrville,US,77.54,overcast clouds,30.0474,-99.1403,
112,Yulara,AU,69.64,few clouds,-25.2406,130.9889,
113,Isangel,VU,75.09,clear sky,-19.55,169.2667,
114,Bowen,AU,74.5,overcast clouds,-20.0167,148.2333,
115,Nicoya,CR,77.68,overcast clouds,10.1483,-85.452,
116,Atuona,PF,77.86,light rain,-9.8,-139.0333,
117,Goderich,CA,42.91,clear sky,43.7501,-81.7165,
118,Sao Jose Da Coroa Grande,BR,75.4,broken clouds,-8.8978,-35.1478,
119,Ixtapa,MX,74.23,clear sky,20.7,-105.2,
120,Macamic,CA,34.3,light snow,48.7502,-78.9996,
121,Roma,US,42.08,clear sky,43.2128,-75.4557,
122,Komsomolskiy,UZ,88.52,clear sky,40.4272,71.7189,
123,Ca Mau,VN,88.81,overcast clouds,9.1769,105.15,
125,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,
126,Myre,NO,38.01,light rain,69.1036,15.9492,
127,Petatlan,MX,74.68,overcast clouds,17.5167,-101.2667,
128,Labuhan,ID,86.61,overcast clouds,-6.8844,112.2051,
130,Camacha,PT,58.42,broken clouds,33.0833,-16.3333,
132,Araouane,ML,86.22,clear sky,18.9048,-3.5265,
133,Muros,ES,58.68,overcast clouds,42.7762,-9.0603,
134,Hastings,GB,56.39,few clouds,50.8552,0.5729,
135,Vardo,NO,31.98,overcast clouds,70.3705,31.1107,
136,Touros,BR,74.41,overcast clouds,-5.1989,-35.4608,
137,Ribeira Grande,PT,55.8,few clouds,38.5167,-28.7,
138,Erenhot,CN,64.9,clear sky,43.6475,111.9767,
139,Taoudenni,ML,85.84,broken clouds,22.6783,-3.9836,
140,Floro,NO,44.96,few clouds,61.5996,5.0328,
141,Hobart,AU,55.26,few clouds,-42.8794,147.3294,
142,Yellowknife,CA,32.52,overcast clouds,62.456,-114.3525,
143,Cap Malheureux,MU,83.46,few clouds,-19.9842,57.6142,
144,Alta Floresta,BR,68.68,scattered clouds,-9.8756,-56.0861,
145,Kahului,US,75.85,few clouds,20.8947,-156.47,
146,Sambava,MG,82.36,light rain,-14.2667,50.1667,
147,Mahebourg,MU,83.25,scattered clouds,-20.4081,57.7,
148,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,
149,Dano,BF,87.03,broken clouds,11.15,-3.0667,
150,Srednekolymsk,RU,30.97,overcast clouds,67.45,153.6833,
151,Merauke,ID,82.83,light rain,-8.4667,140.3333,
152,Torbay,CA,33.28,clear sky,47.6666,-52.7314,
153,Ust-Ishim,RU,58.95,overcast clouds,57.6935,71.1665,
154,Awbari,LY,75.0,clear sky,26.5921,12.7805,
155,Gornja Tuzla,BA,52.65,mist,44.5561,18.7614,
156,Klaksvik,FO,45.52,light rain,62.2266,-6.589,
157,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,
158,Shingu,JP,69.71,few clouds,33.7333,135.9833,
159,Wajima,JP,61.48,clear sky,37.4,136.9,
160,Hofn,IS,44.8,overcast clouds,64.2539,-15.2082,
161,La Ronge,CA,44.85,overcast clouds,55.1001,-105.2842,
163,Atlantic City,US,46.02,overcast clouds,39.3643,-74.4229,
164,Mao,ES,66.76,clear sky,39.8885,4.2658,
165,Castro,BR,47.68,overcast clouds,-24.7911,-50.0119,
166,Portland,US,45.19,light rain,45.5234,-122.6762,
167,Wattegama,LK,88.92,overcast clouds,6.7989,81.4808,
168,Skibbereen,IE,53.11,broken clouds,51.55,-9.2667,
169,Senador Jose Porfirio,BR,73.62,overcast clouds,-2.5908,-51.9542,
170,Znamenskoye,RU,47.88,overcast clouds,57.1281,73.8282,
171,Shepsi,RU,56.35,overcast clouds,44.0361,39.1489,
172,Butaritari,KI,82.18,broken clouds,3.0707,172.7902,
173,Montepuez,MZ,77.5,scattered clouds,-13.1256,38.9997,
175,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,
176,Nome,US,32.07,mist,64.5011,-165.4064,
177,Ada,US,40.91,scattered clouds,43.4166,-116.1262,
178,Magistralnyy,RU,48.43,overcast clouds,56.1725,107.4458,
179,Palu,ID,82.44,overcast clouds,-0.8917,119.8707,
180,Bengkulu,ID,85.84,overcast clouds,-3.8004,102.2655,
181,Beihai,CN,78.55,overcast clouds,21.4833,109.1,
182,Altay,CN,60.8,broken clouds,47.8667,88.1167,
183,Bambous Virieux,MU,83.21,scattered clouds,-20.3428,57.7575,
184,Logrono,ES,53.1,clear sky,42.4667,-2.45,
185,Caxito,AO,76.44,overcast clouds,-8.5785,13.6643,
186,Kavieng,PG,84.02,overcast clouds,-2.5744,150.7967,
187,Rothenbach,DE,54.75,overcast clouds,47.6167,9.9833,
188,Nemuro,JP,44.83,broken clouds,43.3236,145.575,
189,Lorengau,PG,84.2,scattered clouds,-2.0226,147.2712,
190,Remontnoye,RU,57.16,overcast clouds,46.5614,43.6501,
192,Lata,PT,69.03,overcast clouds,40.1629,-8.3327,
193,San Patricio,US,80.49,clear sky,28.017,-97.5169,
194,Olafsvik,IS,43.03,overcast clouds,64.8945,-23.7142,
195,Dali,CN,73.94,overcast clouds,25.7,100.1833,
196,Conakry,GN,79.97,overcast clouds,9.538,-13.6773,
197,Ancud,CL,55.09,light rain,-41.8697,-73.8203,
198,Sorland,NO,37.26,light rain,67.667,12.6934,
199,Teya,RU,32.32,overcast clouds,60.3778,92.6267,
200,Killybegs,IE,54.97,broken clouds,54.6333,-8.45,
201,Port Washington,US,47.8,overcast clouds,40.8257,-73.6982,
202,Provideniya,RU,31.57,snow,64.3833,-173.3,
203,Charleston,US,65.01,few clouds,32.7766,-79.9309,
204,Abnub,EG,73.62,few clouds,27.2696,31.1511,
205,Sept-Iles,CA,30.72,clear sky,50.2001,-66.3821,
206,Katsuura,JP,57.69,overcast clouds,35.1333,140.3,
207,Ngunguru,NZ,59.18,clear sky,-35.6167,174.5,
208,Broome,US,39.67,clear sky,42.2506,-75.833,
209,Sinop,TR,46.83,overcast clouds,41.7711,34.8709,
210,Arraial Do Cabo,BR,70.88,broken clouds,-22.9661,-42.0278,
211,Artvin,TR,48.69,overcast clouds,41.1667,41.8333,
212,Narsaq,GL,52.02,overcast clouds,60.9167,-46.05,
215,Zhigansk,RU,34.77,overcast clouds,66.7697,123.3711,
216,Juneau,US,42.8,broken clouds,58.3019,-134.4197,
217,Oistins,BB,80.69,few clouds,13.0667,-59.5333,
218,Madison Heights,US,47.82,clear sky,42.4859,-83.1052,
219,Ostrovnoy,RU,35.26,scattered clouds,68.0531,39.5131,
220,Geraldton,AU,84.61,clear sky,-28.7667,114.6,
221,Balikpapan,ID,83.39,light rain,-1.2675,116.8289,
222,Conde,BR,72.86,clear sky,-7.2597,-34.9075,
223,Codrington,AU,54.72,overcast clouds,-38.2667,141.9667,
225,Yuanping,CN,62.56,overcast clouds,38.7153,112.7575,
226,Tombouctou,ML,83.43,clear sky,20.0,-3.0,
227,Guerrero Negro,MX,60.57,broken clouds,27.9769,-114.0611,
228,Buenos Aires,AR,62.33,clear sky,-34.6132,-58.3772,
229,Flin Flon,CA,49.8,overcast clouds,54.7682,-101.865,
230,Adrar,MR,86.32,clear sky,20.5022,-10.0711,
232,Pacific Grove,US,51.91,clear sky,36.6177,-121.9166,
234,Newcastle,AU,65.08,clear sky,-32.9272,151.7765,
236,Saint-Pierre,RE,83.88,overcast clouds,-21.3393,55.4781,
237,Morehead,US,49.98,clear sky,37.2711,-87.1764,
239,Gold Coast,AU,70.0,overcast clouds,-28.0,153.4333,
241,Harper,LR,81.14,light rain,4.375,-7.7169,
242,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,
243,Moose Factory,CA,37.4,clear sky,51.2585,-80.6094,
244,Tiarei,PF,78.82,clear sky,-17.5333,-149.3333,
245,Mogadishu,SO,87.67,scattered clouds,2.0371,45.3438,
246,Avera,US,55.45,clear sky,33.194,-82.5271,
247,Laurel,US,45.86,overcast clouds,39.0993,-76.8483,
248,Ambulu,ID,84.9,moderate rain,-8.345,113.6058,
249,Lahat,ID,89.2,overcast clouds,-3.8,103.5333,
250,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,
251,Kirkuk,IQ,72.52,clear sky,35.4681,44.3922,
252,Kimbe,PG,79.97,light rain,-5.5502,150.1429,
253,Coihueco,CL,41.74,clear sky,-36.6167,-71.8333,
254,Sumbe,AO,79.34,overcast clouds,-11.2061,13.8437,
255,Svetlogorsk,BY,57.31,overcast clouds,52.6333,29.7333,
256,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,
257,Bakchar,RU,46.51,scattered clouds,57.0186,82.0711,
258,Hami,CN,81.72,overcast clouds,42.8,93.45,
259,Warwick,US,48.24,overcast clouds,41.7001,-71.4162,
260,Port Augusta,AU,60.84,clear sky,-32.5,137.7667,
261,Lethem,GY,75.18,overcast clouds,3.3803,-59.7968,
262,Tuatapere,NZ,53.46,overcast clouds,-46.1333,167.6833,
263,Jingcheng,CN,79.0,clear sky,32.0142,120.2625,
264,Billings,US,47.97,overcast clouds,45.7833,-108.5007,
265,Fasa,IR,85.24,clear sky,28.9383,53.6482,
266,Port Elizabeth,ZA,62.31,broken clouds,-33.918,25.5701,
268,Papayal,PE,69.24,overcast clouds,-4.0761,-80.7361,
269,Dingle,PH,88.16,broken clouds,10.9995,122.6711,
271,Sagua La Grande,CU,72.59,clear sky,22.8067,-80.0756,
273,Guaruja,BR,68.9,overcast clouds,-23.9931,-46.2564,
274,Bairiki,KI,80.6,few clouds,1.3292,172.9752,
275,Kaitangata,NZ,53.82,overcast clouds,-46.2817,169.8464,
276,Constitucion,CL,52.41,clear sky,-35.3333,-72.4167,
277,San Jose,US,53.47,few clouds,37.3394,-121.895,
278,Maldonado,UY,55.22,broken clouds,-34.6667,-54.9167,
279,Weyburn,CA,44.82,broken clouds,49.6668,-103.8511,
280,Cordoba,AR,63.45,clear sky,-31.4135,-64.1811,
281,Jinxiang,CN,68.79,overcast clouds,27.4327,120.6062,
282,Urucui,BR,70.21,overcast clouds,-7.2294,-44.5561,
283,Damietta,EG,69.69,few clouds,31.4165,31.8133,
284,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,
285,San Carlos De Bariloche,AR,53.35,scattered clouds,-41.1456,-71.3082,
286,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,
287,Odweyne,SO,85.32,clear sky,9.4092,45.064,
288,College,US,42.78,broken clouds,64.8569,-147.8028,
289,Sorong,ID,84.74,scattered clouds,-0.8833,131.25,
290,Balabac,PH,85.55,few clouds,7.9868,117.0645,
291,Villarrica,PY,54.52,clear sky,-25.75,-56.4333,
292,Varhaug,NO,47.86,broken clouds,58.6147,5.6457,
293,Cabo San Lucas,MX,75.61,clear sky,22.8909,-109.9124,
294,Vostok,RU,40.39,overcast clouds,46.4856,135.8833,
295,Sao Joao Da Barra,BR,66.87,clear sky,-21.6403,-41.0511,
296,Leshukonskoye,RU,49.01,overcast clouds,64.8989,45.7622,
297,Camacupa,AO,71.19,clear sky,-12.0167,17.4833,
298,Namatanai,PG,82.87,scattered clouds,-3.6667,152.4333,
299,Lisakovsk,KZ,58.53,overcast clouds,52.5369,62.4936,
300,Mehamn,NO,32.0,overcast clouds,71.0357,27.8492,
301,Mangan,IN,81.37,overcast clouds,27.5167,88.5333,
302,Lodja,CD,81.91,overcast clouds,-3.4833,23.4333,
304,Fort Saint James,CA,34.48,overcast clouds,54.4333,-124.25,
305,Qaqortoq,GL,38.73,overcast clouds,60.7167,-46.0333,
306,Luz,BR,64.06,broken clouds,-19.8014,-45.6856,
307,Staryy Nadym,RU,32.88,overcast clouds,65.6118,72.6842,
308,Dongying,CN,51.24,light rain,37.4564,118.4856,
309,Kruisfontein,ZA,59.88,overcast clouds,-34.0033,24.7314,
310,Sabang,ID,84.09,broken clouds,5.8933,95.3214,
311,Ossora,RU,36.5,broken clouds,59.2353,163.0719,
312,Smithers,CA,43.12,overcast clouds,54.7804,-127.1743,
313,Great Yarmouth,GB,53.94,clear sky,52.6083,1.7305,
314,Sobradinho,BR,66.87,clear sky,-12.8333,-39.1,
315,Chornoliztsi,UA,61.97,overcast clouds,48.8303,24.8958,
319,Casablanca,MA,62.94,few clouds,33.5928,-7.6192,
320,Bull Savanna,JM,75.13,broken clouds,17.8868,-77.5902,
